,mae,rmse,median_absolute_error,best_iteration,tree_count
depth6_lr005,3378.284737874446,7038.421138295198,1723.285777239149,1499.0,1500.0
depth8_lr005,3255.7527765289797,6818.862252711911,1646.327009811991,1499.0,1500.0
depth8_lr010,3240.381694528021,6760.346227932169,1657.0149187130446,997.0,998.0
