confidence_level,quantile,empirical_coverage,average_interval_width,median_interval_width,test_rows,calibration_rows
0.8,4270.111668214375,0.7665644612657501,8363.291336610699,8540.22333642875,41746,50674
0.9,6981.666354545079,0.8787907823504049,13204.857115167342,13963.332709090158,41746,50674
0.95,10290.613821587991,0.9366885450103004,18551.349179388348,20581.227643175982,41746,50674
